
 
---------- Probe ---------
 
N1 = 73.0
N2 = 49.0
A = 7.36E-7
LM = 0.02182
NU = 1.0
R = 0.101134
 
--------- Signal ---------
 
signal = Triangle
amplitude = 7.480000
f = 151.000000
Fs = 800000.000000
waves = 2.0
date = 12/10/2018 15:19
 
---------- Misc ----------
 
Hc = 3081.659188533943 A/m
W = --- J/kg^3
 
--------------------------
 
t	U1	U2	H	Braw	Jraw	B_drift	 J_drift	B_corr	J_corr
1.250000E-6	-0.000153	1.831055E-5	-4.227759897480573	-1.234051E-6	5.109039E-6	-1.3145200365883177E-6	5.030360242083692E-6	-0.006389169871991551	-0.006393276305681142
2.500000E-6	-0.000198	-3.051758E-5	-5.742060897480573	-1.586637E-6	6.659380E-6	-1.747575073176635E-6	6.5020224841673834E-6	-0.0063896029270281395	-0.006391804643439058
3.750000E-6	-9.155273E-5	4.272461E-5	-2.208690897480573	-5.993960E-7	3.206458E-6	-8.408031097649526E-7	2.970421726251075E-6	-0.006388696155064728	-0.006395336244196975
5.000000E-6	-0.000122	3.051758E-5	-3.2182248974805727	7.051718E-7	5.779644E-6	3.832956536467299E-7	5.464928968334768E-6	-0.006387472056301316	-0.006392841736954891
6.250000E-6	-0.000168	6.103516E-5	-4.732526897480573	2.891204E-6	9.868603E-6	2.4888588170584122E-6	9.47520921041846E-6	-0.006385366493137905	-0.0063888314567128075
7.500000E-6	-9.155273E-5	0.000104	-2.208690897480573	6.875425E-6	1.068128E-5	6.392610780470095E-6	1.0209207452502152E-5	-0.0063814627411744925	-0.006388097458470724
8.750000E-6	0.000000	0.000214	0.819911102519427	1.413869E-5	1.413869E-5	1.3575406743881777E-5	1.3587938694585843E-5	-0.006374279945211081	-0.0063847187272286395
1.000000E-5	-3.051758E-5	0.000299	-0.18962289748057293	2.461050E-5	2.587911E-5	2.396674770729346E-5	2.5249679936669537E-5	-0.00636388860424767	-0.0063730569859865565
1.125000E-5	0.000107	0.000403	4.353280102519427	3.899600E-5	3.455584E-5	3.827177867070514E-5	3.384773117875323E-5	-0.0063495835732842575	-0.006364458934744473
1.250000E-5	0.000153	0.000580	5.867582102519427	5.916391E-5	5.282082E-5	5.8359219634116824E-5	5.203403242083692E-5	-0.0063294961323208465	-0.006346272633502389
1.375000E-5	0.000214	0.000769	7.886650102519427	8.536104E-5	7.648072E-5	8.447588059752851E-5	7.561525366292061E-5	-0.0063033794713574344	-0.006322691412260305
1.500000E-5	0.000336	0.000879	11.924786102519427	0.000116	0.000102	1.1503437156094019E-4	1.010558549050043E-4	-0.006272820980394023	-0.006297250811018221
1.625000E-5	0.000549	0.001093	18.99152510251943	0.000154	0.000131	1.5295390252435188E-4	1.29977176147088E-4	-0.006234901449430611	-0.006268329489776138
1.750000E-5	0.000641	0.001288	22.020127102519428	0.000199	0.000172	1.9787343348776356E-4	1.7089849738917168E-4	-0.0061899819184672	-0.006227408168534054
1.875000E-5	0.000717	0.001434	24.543962102519426	0.000249	0.000219	2.477929644511752E-4	2.1781981863125538E-4	-0.006140062387503788	-0.006180486847291971
2.000000E-5	0.000900	0.001636	30.601167102519426	0.000306	0.000268	3.047124954145869E-4	2.6674113987333907E-4	-0.0060831428565403765	-0.006131565526049886
2.125000E-5	0.001114	0.001880	37.667906102519424	0.000370	0.000324	3.686320263779986E-4	3.226624611154228E-4	-0.0060192233255769645	-0.0060756442048078025
2.250000E-5	0.001205	0.002063	40.696508102519424	0.000442	0.000392	4.405515573414103E-4	3.905837823575064E-4	-0.005947303794613553	-0.006007722883565719
