
 
---------- Probe ---------
 
N1 = 76.0
N2 = 48.0
A = 9.2E-7
LM = 0.02167
NU = 1.0
R = 0.101134
 
--------- Signal ---------
 
signal = Triangle
amplitude = 7.130000
f = 200.000000
Fs = 800000.000000
waves = 2.0
date = 12/10/2018 15:42
 
---------- Misc ----------
 
Hc = 3846.1617191244695 A/m
W = --- J/kg^3
 
--------------------------
 
t	U1	U2	H	Braw	Jraw	B_drift	 J_drift	B_corr	J_corr
1.250000E-6	-0.000137	2.441406E-5	-3.5622801634183316	1.727671E-6	7.712199E-6	1.2914189547641948E-6	7.275863581328199E-6	-0.03504164986001535	-0.035035632150855554
2.500000E-6	-0.000137	3.051758E-5	-3.5622801634183316	2.649095E-6	8.633624E-6	1.7765909095283893E-6	7.7609531626564E-6	-0.03504116468806059	-0.035035147061274224
3.750000E-6	-0.000107	4.882813E-5	-2.503983163418331	3.887259E-6	8.541893E-6	2.578502864292585E-6	7.232886743984598E-6	-0.035040362776105824	-0.03503567512769289
5.000000E-6	-0.000183	3.662109E-5	-5.149726163418332	5.672519E-6	1.365189E-5	3.927510819056779E-6	1.1906548325312798E-5	-0.035039013768151064	-0.035031001466111565
6.250000E-6	-0.000107	0.000183	-2.503983163418331	1.099950E-5	1.565414E-5	8.818239773820974E-6	1.3472462906640997E-5	-0.0350341230391963	-0.035029435551530236
7.500000E-6	-3.051758E-5	0.000360	0.14175883658166866	2.096241E-5	2.229230E-5	1.8344897728585167E-5	1.9674287487969196E-5	-0.035024596381241536	-0.03502323372694891
8.750000E-6	-1.525879E-5	0.000488	0.6709078365816687	3.541725E-5	3.608220E-5	3.236348568334936E-5	3.3027852069297397E-5	-0.03501057779328677	-0.035009880162367585
1.000000E-5	1.525879E-5	0.000751	1.7292038365816687	5.652363E-5	5.585868E-5	5.3033613638113554E-5	5.23679966506256E-5	-0.034989907665332005	-0.03499054001778625
1.125000E-5	0.000168	0.000983	7.020688836581669	8.465587E-5	7.734145E-5	8.072960159287776E-5	7.341443123195379E-5	-0.034962211677377245	-0.034969493583204926
1.250000E-5	0.000244	0.001282	9.666431836581669	0.000121	0.000110	1.1663747954764194E-4	1.05636645813282E-4	-0.03492630379942248	-0.034937271368623596
1.375000E-5	0.000351	0.001581	13.370470836581669	0.000166	0.000151	1.6120122750240613E-4	1.4620031039461022E-4	-0.03488174005146771	-0.03489670770404227
1.500000E-5	0.000519	0.001947	19.19110483658167	0.000221	0.000198	2.1576497545717035E-4	1.9276397497593837E-4	-0.034827176303512945	-0.03485014403946094
1.625000E-5	0.000687	0.002209	25.01173783658167	0.000283	0.000253	2.7732872341193455E-4	2.473276395572666E-4	-0.034765612555558184	-0.03479558037487961
1.750000E-5	0.000854	0.002472	30.832371836581668	0.000354	0.000316	3.478924713666987E-4	3.0989130413859475E-4	-0.03469504880760342	-0.034733016710298284
1.875000E-5	0.000931	0.002838	33.47811383658167	0.000434	0.000394	4.274562193214629E-4	3.87454968719923E-4	-0.034615485059648655	-0.034655453045716954
2.000000E-5	0.001205	0.003290	43.00278683658167	0.000526	0.000474	5.190199672762271E-4	4.6701863330125116E-4	-0.03452392131169389	-0.03457588938113563
2.125000E-5	0.001434	0.003516	50.94001483658167	0.000626	0.000564	6.185837152309913E-4	5.565822978825794E-4	-0.03442435756373913	-0.0344863257165543
2.250000E-5	0.001556	0.003809	55.173202836581666	0.000735	0.000667	7.271474631857555E-4	6.591459624639075E-4	-0.03431579381578436	-0.03438376205197297
2.375000E-5	0.001816	0.004211	64.16872683658167	0.000853	0.000774	8.447112111405197E-4	7.657096270452358E-4	-0.0341982300678296	-0.03427719838739164
2.500000E-5	0.002014	0.004498	71.04765683658167	0.000981	0.000893	9.72274959095284E-4	8.84273291626564E-4	-0.034070666319874834	-0.03415863472281032
2.625000E-5	0.002243	0.004816	78.98488483658167	0.001117	0.001020	0.001107838707050048	0.0010108369562078924	-0.03393510257192007	-0.03403207105822899
2.750000E-5	0.002472	0.005188	86.92211183658166	0.001264	0.001156	0.0012544024550048122	0.0011464006207892203	-0.033788538823965306	-0.03389650739364766
2.875000E-5	0.002716	0.005511	95.38848783658167	0.001419	0.001301	0.0014089662029595764	0.0012909642853705487	-0.03363397507601054	-0.03375194372906633
3.000000E-5	0.002930	0.005743	102.79656683658168	0.001582	0.001455	0.0015715299509143407	0.0014445279499518766	-0.033471411328055777	-0.033598380064485005
3.125000E-5	0.003220	0.006067	112.85038883658167	0.001754	0.001614	0.0017430936988691048	0.001603091614533205	-0.033299847580101016	-0.03343981639990368
3.250000E-5	0.003479	0.006384	121.84591283658168	0.001935	0.001783	0.0019236574468238692	0.0017716552791145334	-0.03311928383214625	-0.033271252735322346
3.375000E-5	0.003708	0.006738	129.78313983658168	0.002125	0.001964	0.0021132211947786335	0.0019522189436958614	-0.03292972008419148	-0.03309068907074102
3.500000E-5	0.003937	0.006989	137.72036783658166	0.002323	0.002152	0.0023107849427333976	0.0021397826082771893	-0.032732156336236724	-0.03290312540615969
3.625000E-5	0.004196	0.007263	146.71589183658168	0.002529	0.002346	0.0025163486906881615	0.002333346272858518	-0.03252659258828196	-0.03270956174157836
3.750000E-5	0.004501	0.007477	157.29886183658166	0.002741	0.002545	0.0027279124386429257	0.002531909937439846	-0.03231502884032719	-0.03251099807699703
3.875000E-5	0.004761	0.007806	166.29438683658168	0.002962	0.002754	0.0029484761865976898	0.002740473602021174	-0.03209446509237243	-0.032302434412415704
4.000000E-5	0.004974	0.008148	173.70246583658167	0.003192	0.002975	0.003178039934552454	0.002961037266602503	-0.03186490134441766	-0.032081870747834376
4.125000E-5	0.005310	0.008392	185.34373183658167	0.003429	0.003198	0.0034146036825072187	0.0031836009311838305	-0.0316283375964629	-0.03185930708325305
4.250000E-5	0.005493	0.008618	191.69351383658167	0.003674	0.003434	0.003659167430461983	0.0034191645957651587	-0.031383773848508136	-0.03162374341867172
4.375000E-5	0.005844	0.008899	203.86392983658166	0.003925	0.003671	0.003909731178416746	0.0036557282603464866	-0.031133210100553373	-0.031387179754090395
4.500000E-5	0.006119	0.009174	213.38860283658167	0.004185	0.003918	0.004169294926371511	0.003902291924927815	-0.030873646352598608	-0.031140616089509066
4.625000E-5	0.006332	0.009357	220.79668183658166	0.004450	0.004174	0.004433858674326275	0.004157855589509143	-0.030609082604643845	-0.030885052424927735
4.750000E-5	0.006683	0.009607	232.96709683658167	0.004722	0.004431	0.004705422422281039	0.004414419254090472	-0.03033751885668908	-0.030628488760346406
4.875000E-5	0.006943	0.009918	241.96262183658166	0.005003	0.004700	0.004985986170235803	0.0046829829186718	-0.030056955108734316	-0.03035992509576508
5.000000E-5	0.007233	0.010193	252.01644283658166	0.005291	0.004975	0.005273549918190568	0.004957546583253128	-0.02976939136077955	-0.030085361431183753
5.125000E-5	0.007462	0.010345	259.9536698365817	0.005584	0.005259	0.005566113666145333	0.005241110247834456	-0.029476827612824788	-0.029801797766602425
5.250000E-5	0.007797	0.010675	271.59493683658167	0.005886	0.005546	0.005867677414100096	0.005527673912415784	-0.029175263864870023	-0.029515234102021094
