
 
---------- Probe ---------
 
N1 = 71.0
N2 = 48.0
A = 6.66E-7
LM = 0.02151
NU = 1.0
R = 0.101134
 
--------- Signal ---------
 
signal = Triangle
amplitude = 7.570000
f = 200.000000
Fs = 800000.000000
waves = 2.0
date = 15/10/2018 12:36
 
---------- Misc ----------
 
Hc = 2054.115560734493 A/m
W = --- J/kg^3
 
--------------------------
 
t	U1	U2	H	Braw	Jraw	B_drift	 J_drift	B_corr	J_corr
1.250000E-6	-0.000107	-3.051758E-5	-4.853711686028547	-2.088251E-6	2.292502E-6	4.0390843118383436E-8	4.421187033686235E-6	-0.035086273597222266	-0.03508376906416956
2.500000E-6	-0.000244	-1.525879E-5	-9.335830686028547	-2.784334E-6	7.228814E-6	1.4729496862367672E-6	1.148618406737247E-5	-0.03508484103837915	-0.03507670406713587
3.750000E-6	-6.103516E-5	-1.525879E-5	-3.3596726860285475	-3.182096E-6	-6.788093E-7	3.2038295293551508E-6	5.7072458010587025E-6	-0.03508311015853603	-0.03508248300540218
5.000000E-6	-0.000107	1.525879E-5	-4.853711686028547	-1.789929E-6	2.590823E-6	6.7246383724735344E-6	1.1105563134744939E-5	-0.035079589349692915	-0.0350770846880685
6.250000E-6	-9.155273E-5	0.000168	-4.355698686028547	5.369788E-6	9.124719E-6	1.6012997215591917E-5	1.9768144168431172E-5	-0.0350703009908498	-0.03506842210703481
7.500000E-6	-9.155273E-5	0.000412	-4.355698686028547	2.187691E-5	2.563184E-5	3.46487610587103E-5	3.8403950202117406E-5	-0.03505166522700668	-0.035049786301001126
8.750000E-6	6.103516E-5	0.000717	0.6244333139714529	5.041634E-5	4.791305E-5	6.531683290182869E-5	6.281384523580364E-5	-0.03502099715516356	-0.03502537640596744
1.000000E-5	0.000137	0.001099	3.1144983139714526	9.357352E-5	8.794113E-5	1.1060265474494707E-4	1.0497061026948988E-4	-0.03497571133332044	-0.03498321964093375
1.125000E-5	0.000107	0.001511	2.118472313971453	0.000153	0.000149	1.7215777658806546E-4	1.681581653031761E-4	-0.034914156211477324	-0.03492003208590007
1.250000E-5	0.000244	0.001999	6.600591313971453	0.000232	0.000222	2.532864184311838E-4	2.4328685033686234E-4	-0.0348330275696342	-0.03484490340086638
1.375000E-5	0.000443	0.002533	13.074762313971453	0.000331	0.000313	3.544150602743022E-4	3.364155353705486E-4	-0.034731898927791084	-0.0347517747158327
1.500000E-5	0.000565	0.003189	17.058867313971454	0.000455	0.000432	4.805437021174206E-4	4.575442204042348E-4	-0.03460577028594797	-0.03463064603079901
1.625000E-5	0.000778	0.003738	24.031051313971453	0.000602	0.000570	6.296723439605389E-4	5.97672905437921E-4	-0.03445664164410485	-0.034490517345765324
1.750000E-5	0.000870	0.004349	27.019130313971452	0.000773	0.000737	8.028009858036575E-4	7.668015904716073E-4	-0.03428351300226173	-0.03432138866073164
1.875000E-5	0.001053	0.005096	32.99528831397145	0.000972	0.000928	0.0010039296276467757	9.599302755052935E-4	-0.03408238436041861	-0.03412825997569795
2.000000E-5	0.001343	0.005753	42.457538313971455	0.001197	0.001142	0.001231058269489894	0.0011760589605389797	-0.03385525571857549	-0.03391213129066426
2.125000E-5	0.001526	0.006424	48.43369631397145	0.001448	0.001385	0.0014841869113330125	0.001421187645572666	-0.03360212707673237	-0.033667002605630575
2.250000E-5	0.001648	0.007126	52.41780231397145	0.001727	0.001659	0.001765315553176131	0.0016973163306063523	-0.033320998434889254	-0.03339087392059689
2.375000E-5	0.001968	0.007812	62.87607831397145	0.002032	0.001951	0.002072444195019249	0.0019914450156400384	-0.03301386979304614	-0.033096745235563205
2.500000E-5	0.002197	0.008423	70.34627631397146	0.002361	0.002271	0.0024035728368623677	0.0023135737006737245	-0.03268274115120302	-0.03277461655052952
2.625000E-5	0.002380	0.009094	76.32243431397146	0.002717	0.002619	0.002761701478705486	0.002663702385707411	-0.032324612509359904	-0.03242448786549583
2.750000E-5	0.002579	0.009766	82.79660531397145	0.003099	0.002993	0.0031458301205486046	0.0030398310707410972	-0.031940483867516786	-0.032048359180462144
2.875000E-5	0.002899	0.010452	93.25488131397145	0.003507	0.003388	0.003555958762391723	0.0034369597557747833	-0.03153035522567366	-0.03165123049542846
3.000000E-5	0.003220	0.011078	103.71315831397145	0.003940	0.003808	0.003991087404234841	0.0038590884408084697	-0.031095226583830547	-0.031229101810394774
3.125000E-5	0.003403	0.011719	109.68931631397145	0.004399	0.004259	0.004452216046077959	0.004312217125842155	-0.030634097941987428	-0.030775973125361088
3.250000E-5	0.003601	0.012344	116.16348731397146	0.004881	0.004733	0.004936344687921078	0.0047883458108758424	-0.03014996930014431	-0.030299844440327402
3.375000E-5	0.003952	0.012955	127.61779031397145	0.005388	0.005226	0.005445473329764197	0.005283474495909528	-0.02964084065830119	-0.029804715755293715
3.500000E-5	0.004257	0.013611	137.57805331397145	0.005920	0.005745	0.005979601971607315	0.005804603180943215	-0.02910671201645807	-0.02928358707026003
3.625000E-5	0.004471	0.014175	144.55023731397145	0.006474	0.006291	0.006535730613450433	0.006352731865976901	-0.028550583374614955	-0.028735458385226342
3.750000E-5	0.004730	0.014740	153.01646131397146	0.007051	0.006857	0.007114859255293551	0.006920860551010587	-0.027971454732771836	-0.02816732970019266
3.875000E-5	0.005081	0.015350	164.47076431397144	0.007650	0.007442	0.007715987897136669	0.007507989236044273	-0.027370326090928716	-0.02758020101515897
4.000000E-5	0.005371	0.015915	173.93301431397146	0.008272	0.008052	0.008340116538979788	0.00812011792107796	-0.0267461974490856	-0.026968072330125284
4.125000E-5	0.005661	0.016388	183.39526431397147	0.008913	0.008681	0.008983245180822908	0.008751246606111646	-0.02610306880724248	-0.0263369436450916
4.250000E-5	0.005875	0.016922	190.36744831397147	0.009575	0.009334	0.009647373822666025	0.009406375291145332	-0.02543894016539936	-0.025681814960057912
4.375000E-5	0.006195	0.017456	200.82572531397145	0.010258	0.010004	0.010332502464509143	0.010078503976179019	-0.024753811523556244	-0.025009686275024225
4.500000E-5	0.006485	0.018021	210.28797531397146	0.010962	0.010696	0.01103863110635226	0.010772632661212705	-0.024047682881713127	-0.024315557589990537
4.625000E-5	0.006760	0.018494	219.25221231397146	0.011685	0.011408	0.01176375974819538	0.01148676134624639	-0.023322554239870008	-0.023601428904956853
4.750000E-5	0.007050	0.018967	228.71446231397147	0.012427	0.012138	0.0125078883900385	0.012218890031280077	-0.022578425598026888	-0.022869300219923165
4.875000E-5	0.007355	0.019485	238.67472531397146	0.013189	0.012887	0.013272017031881616	0.012970018716313762	-0.02181429695618377	-0.022118171534889482
