
 
---------- Probe ---------
 
N1 = 60.0
N2 = 60.0
A = 1.286E-6
LM = 0.02207
NU = 1.0
R = 0.101134
 
--------- Signal ---------
 
signal = Triangle
amplitude = 9.190000
f = 151.000000
Fs = 800000.000000
waves = 2.0
date = 30/11/2018 12:12
 
---------- Misc ----------
 
Hc = 925.8439190912462 A/m
W = --- J/kg^3
 
--------------------------
 
t	U1	U2	H	B_raw	J_raw	B_drift	 J_drift	B_corr	J_corr
0.000000	-0.000153	-3.051758E-5	-3.6232412435338937	-7.415819E-7	4.412860E-6	-7.415819E-7	4.41286E-6	-0.06978156444002448	-0.06977508019044473
1.250000E-6	-9.155273E-5	-0.000153	-1.9825312435338938	-2.883930E-6	2.087357E-7	-5.894617624617719E-7	2.5032984804779136E-6	-0.06978141231988694	-0.06977698975196425
2.500000E-6	-0.000153	-0.000153	-3.6232412435338937	-5.191073E-6	-3.663116E-8	-6.021365249235434E-7	4.552494400955827E-6	-0.0697814249946494	-0.06977494055604377
3.750000E-6	-9.155273E-5	-9.155273E-5	-1.9825312435338938	-6.839033E-6	-3.746368E-6	4.4371712614683164E-8	3.13732034143374E-6	-0.06978077848641187	-0.0697763557301033
5.000000E-6	-7.629395E-5	-9.155273E-5	-1.5723532435338936	-8.322197E-6	-5.744976E-6	8.556759501529127E-7	3.4332751219116536E-6	-0.06977996718217433	-0.06977605977532282
6.250000E-6	-7.629395E-5	-9.155273E-5	-1.5723532435338936	-9.640565E-6	-7.063344E-6	1.83177618769114E-6	4.4094699023895676E-6	-0.06977899108193679	-0.06977508358054234
7.500000E-6	-0.000168	-3.051758E-5	-4.033418243533894	-1.021735E-5	-4.547464E-6	3.5494594252293674E-6	9.21991268286748E-6	-0.06977727339869925	-0.06977027313776187
8.750000E-6	-7.629395E-5	0.000000	-1.5723532435338936	-1.005255E-5	-7.475334E-6	6.0087276627675935E-6	8.586605463345393E-6	-0.06977481413046172	-0.06977090644498138
1.000000E-5	-9.155273E-5	9.155273E-5	-1.9825312435338938	-7.992605E-6	-4.899940E-6	1.0363140900305824E-5	1.3456562243823308E-5	-0.06977045971722418	-0.0697660364882009
1.125000E-5	-6.103516E-5	0.000397	-1.1621762435338936	-2.059950E-6	1.827135E-9	1.859026413784405E-5	2.0652892159301224E-5	-0.06976223259398663	-0.06975884015828543
1.250000E-5	-0.000137	0.000519	-3.2130632435338935	6.921431E-6	1.156043E-5	2.986611337538228E-5	3.4506057804779136E-5	-0.0697509567447491	-0.06974498699263995
1.375000E-5	-9.155273E-5	0.000854	-1.9825312435338938	2.059950E-5	2.369216E-5	4.58386506129205E-5	4.8932350585257045E-5	-0.06973498420751156	-0.06973056069985947
1.500000E-5	1.525879E-5	0.001129	0.8887107564661063	3.913904E-5	3.862360E-5	6.667265885045874E-5	6.615835336573496E-5	-0.06971415019927402	-0.069713334697079
1.625000E-5	-0.000122	0.001495	-2.8028862435338935	6.369364E-5	6.781720E-5	9.352172708799696E-5	9.764651614621288E-5	-0.06968730113103648	-0.06968184653429851
1.750000E-5	-0.000183	0.001984	-4.443596243533894	9.607605E-5	0.000102	1.281986053255352E-4	1.3412387892669078E-4	-0.06965262425279894	-0.06964536917151803
1.875000E-5	3.051758E-5	0.002563	1.2988887564661062	0.000138	0.000137	1.724170235630734E-4	1.714184417071687E-4	-0.0696084058345614	-0.06960807460873757
2.000000E-5	0.000000	0.003204	0.4785337564661063	0.000190	0.000190	2.2671149180061167E-4	2.2671300448764663E-4	-0.06955411136632386	-0.06955278004595708
2.125000E-5	-4.577637E-5	0.003876	-0.7519982435338937	0.000253	0.000255	2.920059600381499E-4	2.9400756726812456E-4	-0.06948881689808634	-0.06948548548317661
2.250000E-5	3.051758E-5	0.004730	1.2988887564661062	0.000329	0.000328	3.703004282756881E-4	3.6930213004860243E-4	-0.0694105224298488	-0.06941019092039613
2.375000E-5	7.629395E-5	0.005493	2.529420756466106	0.000419	0.000417	4.625948965132263E-4	4.6059669282908037E-4	-0.06931822796161126	-0.06931889635761565
2.500000E-5	7.629395E-5	0.006592	2.529420756466106	0.000526	0.000524	5.718893647507645E-4	5.698912556095584E-4	-0.06920893349337372	-0.06920960179483517
2.625000E-5	0.000137	0.007690	4.170130756466106	0.000651	0.000646	6.991838329883028E-4	6.941858183900361E-4	-0.06908163902513617	-0.0690853072320547
2.750000E-5	9.155273E-5	0.008942	2.9395987564661064	0.000796	0.000793	8.46478301225841E-4	8.434803811705141E-4	-0.06893434455689863	-0.06893601266927421
2.875000E-5	0.000183	0.010315	5.400663756466106	0.000963	0.000957	0.0010157727694633792	0.001009774943950992	-0.0687650500886611	-0.06876971810649374
3.000000E-5	0.000198	0.011719	5.810840756466106	0.001154	0.001147	0.0012090672377009176	0.00120206950673147	-0.06857175562042356	-0.06857742354371325
3.125000E-5	0.000305	0.013367	8.682082756466107	0.001370	0.001360	0.0014273617059384555	0.001417364069511948	-0.06835346115218602	-0.06836212898093279
3.250000E-5	0.000290	0.014984	8.271905756466106	0.001614	0.001604	0.0016736561741759939	0.0016636586322924256	-0.06810716668394849	-0.0681158344181523
3.375000E-5	0.000290	0.016754	8.271905756466106	0.001885	0.001876	0.0019469506424135321	0.0019379531950729036	-0.06783387221571095	-0.06784153985537182
3.500000E-5	0.000488	0.018646	13.604212756466106	0.002188	0.002171	0.0022522451106510703	0.0022352477578533817	-0.06752857774747341	-0.06754424529259134
3.625000E-5	0.000443	0.020691	12.373680756466106	0.002523	0.002508	0.0025895395788886086	0.0025745423206338593	-0.06719128327923587	-0.06720495072981086
3.750000E-5	0.000412	0.022858	11.553325756466107	0.002894	0.002880	0.002962834047126147	0.0029488368834143376	-0.06681798881099833	-0.06683065616703039
